,track_id,artists,album_name,track_name,duration_ms,genre
8152,3VBvV5wMMgEkrXqILx8JnB,Sam Tinnesz,Legends Are Made,Legends Are Made,169758,blues
8153,14YkNhtwblvxRzsx47gyKC,Raphael Lake;Aaron Levy;Daniel Ryan Murphy,Indie Soul 2,Prisoner,205714,blues
8154,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,Cage The Elephant (Expanded Edition),Ain't No Rest for the Wicked,175493,blues
8155,3N2rQn3AyLfkJGAS4viDAt,Etta James,REGNIG DAG,Stormy Weather,187773,blues
8156,7GPKkJbfSduDWyoVvuaGq9,Nina Simone,Top Trending Romania - Vara 2022,Strange Fruit,209578,blues
8157,3U3ldQDVrkEoGYCxn9FlYi,B.B. King,Christmas Eve At Home,Please Come Home For Christmas - Album Version / Addtl. Strings,291440,blues
8158,4HURIP867U6Bllu0fa4ypq,Etta James,Desayuno en calma,At Last,182533,blues
8159,7mULdwxJbL0Pl7yvrACd2X,Etta James,Christmas time but not Christmas songs 2022,At Last,182533,blues
8160,61T3ukOW74kzMkVy5pOLDR,Nina Simone,Coffee Break,Feeling Good,175021,blues
8161,1xj7USYBhbTPsZDiy8gVcb,Nina Simone,Spooky Scary Season,I Put A Spell On You,156266,blues
8162,1cYoCL141PXTgfMAjZhreI,Nina Simone,Desayuno en calma,Ain't No Use,180933,blues
8163,1S4rxDloMtAduogKeiJZmR,Chuck Berry,CHRISTMAS TOP HITS 2022,Run Rudolph Run,162897,blues
8164,03MW3H9B2P7tgpvzG3klNI,Chuck Berry,pov: you hear the bells jingle,Run Rudolph Run,162897,blues
8165,52MCmoSCtPRbVN5Njdo6G5,Chuck Berry,Weihnachten Playlist,Run Rudolph Run,162897,blues
8166,7m4luTtlene5vS6xUvWxRt,Chuck Berry,Holidays Are Coming,Run Rudolph Run,162897,blues
8167,7is7eKcjZJ9YHHFEEEc8KB,Nina Simone,Twisted Halloween Hits,I Put A Spell On You,156266,blues
8168,3RXAcz7Sa6JDZSxcH1EEQ6,Chuck Berry,Best Christmas Songs 2022 | For under the Mistletoe,Run Rudolph Run,162897,blues
8169,58Qq7oDXsKfuDlRM00ahoa,Etta James,Christmas Vibes But Not Christmas Songs,A Sunday Kind Of Love,198866,blues
8170,41qqj8kkzjBQ1rFIyinjP1,Ella Fitzgerald,All I want For Christmas Is Music,Sleigh Ride,175986,blues
8171,5einzDm0JVThmbqavvqFpi,Nina Simone,Pumpkin Patch Hits,I Put A Spell On You,156266,blues
8172,7pO8TsOPKQCgFVLYkoCiFV,Chuck Berry,Santa Claus Is Coming To Town,Run Rudolph Run,162897,blues
8173,0GZpxW1UfoInSJug7m34fR,Chuck Berry,Classic Christmas 2022,Run Rudolph Run,162897,blues
8174,0qyMrxLDdU14grB9GWndxa,Chuck Berry,Best Christmas Music 2022,Run Rudolph Run,162897,blues
8175,0UfbRLBZi1780FbGc07dg0,Chuck Berry,Home At Christmas,Run Rudolph Run,162897,blues
8176,1Jc5rVFIyOy6XO3ATB1Lh9,Chuck Berry,World's Best Christmas Playlist,Run Rudolph Run,162897,blues
8177,4DQg4j3oJyFWiPyc9g1fmQ,Chuck Berry,pov: you saw mommy kissing santa claus,Run Rudolph Run,162897,blues
8178,0s97PfWCq7L0GDTNk2xDfp,Ella Fitzgerald,All I want For Christmas Is Music,Frosty The Snowman,131733,blues
8179,1wvGRZA2RsGckubdScbnPf,Ella Fitzgerald,Silent Night,Frosty The Snowman,131733,blues
8180,2gVot4EEd2oo2cA0bYJ4wW,Ella Fitzgerald,Holiday Anthems 2022,Frosty The Snowman,131733,blues
8181,2NDDTipKDL1L09WV2GSN52,Chuck Berry,Christmas Classics,Run Rudolph Run,162897,blues
8182,6qxqttcwmFodaFyhaCvIiT,Chuck Berry,Weihnachtslieder 2022,Run Rudolph Run,162897,blues
8183,64tk48BHD71SlomdRag8bm,Chuck Berry,Weihnachtssongs,Run Rudolph Run,162897,blues
8184,0XgmLT6nDInA6w2yxpVsZh,Chuck Berry,Rockin' Around The Christmas Tree 2022,Run Rudolph Run,162897,blues
8185,2i6Zgt3uFaupWIcpvRORMn,B.B. King,Home For Christmas 2022,Please Come Home For Christmas,291440,blues
8186,2hEf65oCXX1w77dSrFu410,Nina Simone,Anthems for Witches 2022,I Put A Spell On You,156266,blues
8187,4UVkpm1zm3ANOCeXoIxAhU,B.B. King,pov: you ride on santa's sleigh,Back Door Santa,205280,blues
8188,3lyCiPreSBOMM1aKhTyzrM,Nina Simone,Halloween Songs | Witches Hour,I Put A Spell On You,156266,blues
8189,7IWC34SGGMHjFNUHfvkPf5,Ella Fitzgerald,Halloween Hits,Ding-Dong! The Witch Is Dead,197573,blues
8190,5VKz3I2DXveqU7vLoYIo4z,Ella Fitzgerald,Christmas Dinner 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8191,3EzO5J4BLoEElQzuAt0jyh,Ella Fitzgerald,Christmas Soul Classics,Rudolph The Red-Nosed Reindeer,171773,blues
8192,7F7DIhKoISusxKyw1013v1,B.B. King,Home At Christmas,Please Come Home For Christmas - Album Version / Addtl. Strings,291440,blues
8193,0OxDGZakSMFjEHSoQHEjfy,Deep Purple,80s Bangers Vol. 2,Perfect Strangers,328426,blues
8194,03wFD2CKnZgnQbqgPfO4fF,Ella Fitzgerald,Helloween Party,Ding-Dong! The Witch Is Dead,197573,blues
8195,2G8eyoZQjaBakG9DFk5NSw,Ella Fitzgerald,Weihnachten Playlist,Rudolph The Red-Nosed Reindeer,171773,blues
8196,0P9Kg7MUJ8ygcKSOPh1LfJ,Queens of the Stone Age,Halloween Party 2022,Burn The Witch,217213,blues
8197,7elD8TsTypKiHbolw5Uu6W,Nina Simone,Happy Haunted Halloween Tunes,I Put A Spell On You,156266,blues
8198,3DdZImFHeAEhvWCTgnfOyC,Ella Fitzgerald;Louis Jordan & His Tympany Five,Best Christmas Music 2022,Baby It's Cold Outside,163706,blues
8199,4KlkkmZpxUkBFnmbAOQ9RQ,Chuck Berry,(60's) Sixties Collected Volume 2,You Never Can Tell - 1986 Stereo Remix,165226,blues
8200,424GDxARRXRaZ7Mla9EDI2,Adam Jensen,The Mystic,The Mystic,189600,blues
8201,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,Second Helping (Expanded Edition),Sweet Home Alabama,283800,blues
8202,4mn2kNTqiGLwaUR8JdhJ1l,The Animals,The Singles Plus,House of the Rising Sun,269906,blues
8203,0IK8y0vAO0sM630HsxwLht,Bohnes,Middle Finger - Single,Middle Finger,229986,blues
8204,5Gs6NY7QTgEq77V3DtPagv,The Phantoms,The Fight,Unstoppable Now,221576,blues
8205,0UC5sdF9ItiZ8myIlU05C4,Joe Cocker,Fiesta temática 60s,I Shall Be Released,274520,blues
8206,1kd5qplldnxu16qcZXS3Yk,All Good Things,Machines,For the Glory,279308,blues
8207,2jBGtK7ChvwIX75iyLcdJ2,Billie Holiday,Jazz Romance,You Go To My Head,174866,blues
8208,1ZCreSfHLOgtmC85t9nNsI,Chuck Berry,12 Days of Christmas 2022,Run Rudolph Run,162897,blues
8209,6CGmcIW8lElAxYJb3dETOS,Chuck Berry,Xmas Classics 2022,Run Rudolph Run,162897,blues
8210,1B7GdW07UqOJzgZDc8T3ec,Chuck Berry,Silent Night,Run Rudolph Run,162897,blues
8211,0FJ5C03igALJMeicHGorCo,Chuck Berry,Christmas Best Hits 2022,Run Rudolph Run,162897,blues
8212,11C22pEpoh1voyOsZ1SdkX,Whitesnake,Maintain Your Mojo,Fool for Your Loving,258146,blues
8213,0RphKXkhRYBkPDA0SkG5U7,Chuck Berry,"It's Christmas, Let's Dance",Run Rudolph Run,162897,blues
